budget,genres,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title
80000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Flubber,11.50396,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-26,177977226,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Flubber
80000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 9648, ""name"": ""Mystery""}]",en,The Haunting,19.375768,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-07-23,91188905,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Haunting
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",en,Space Jam,36.125715,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-11-15,250200000,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Space Jam
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",en,The Day the Earth Stood Still,41.890722,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-10,233093859,104.0,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Day the Earth Stood Still
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",en,Conspiracy Theory,22.179658,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-08-07,136982834,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Conspiracy Theory
68000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",en,Fury,139.575085,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",2014-10-15,211817906,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fury
70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",en,Six Days Seven Nights,18.264635,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-06-12,164000000,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Six Days Seven Nights
80000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",en,Yogi Bear,11.187696,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}]",2010-12-11,201584141,80.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Yogi Bear
80000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,Spirit: Stallion of the Cimarron,41.670544,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-24,122563539,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Spirit: Stallion of the Cimarron
80000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",en,Zookeeper,27.46264,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-07-06,169852759,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Zookeeper
80000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Lost in Space,17.455024,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-04-03,136159423,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Lost in Space
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",en,The Manchurian Candidate,21.394281,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-07-30,96105964,129.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Manchurian Candidate
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,Hotel Transylvania 2,61.692197,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-09-21,473226958,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Hotel Transylvania 2
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",en,Fantasia 2000,14.530946,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-17,90874570,74.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fantasia 2000
80000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",en,The Time Machine,25.978555,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-03-04,123729176,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Time Machine
102000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",en,Swordfish,36.788745,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-06-07,147080413,99.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Swordfish
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,The Legend of Zorro,31.054334,"[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-10-24,142400065,129.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,The Legend of Zorro
85000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",en,What Dreams May Come,21.891078,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-02,71485043,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What Dreams May Come
88000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",en,The Brothers Grimm,40.138009,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-08-26,105316267,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,The Brothers Grimm
70000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Mars Attacks!,44.090535,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-12-12,101371017,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Mars Attacks!
80000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",en,Surrogates,36.664991,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-09-24,122444772,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Surrogates
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",en,Thirteen Days,18.26121,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-12-24,34566746,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Thirteen Days
80000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",en,Daylight,16.681269,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-12-06,159212469,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Daylight
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",en,Walking With Dinosaurs,10.088006,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-18,126546518,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Walking With Dinosaurs
44000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10752, ""name"": ""War""}]",en,Battlefield Earth,7.89147,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-10,21400000,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Battlefield Earth
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,Looney Tunes: Back in Action,16.715631,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-11-14,68514844,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Looney Tunes: Back in Action
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",en,Nine,9.357734,"[{""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-12-03,53825515,112.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Nine
80000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Timeline,11.22268,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-11-26,19480739,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Timeline
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",en,The Postman,14.564667,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-12-25,17626234,177.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The Postman
90000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",en,Babe: Pig in the City,11.356079,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",1998-11-25,69131860,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Babe: Pig in the City
90000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",en,The Last Witch Hunter,52.612025,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-10-21,146936910,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Last Witch Hunter
80000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Red Planet,13.800656,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-11-10,33463969,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Red Planet
86000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",en,Arthur et les Minimoys,27.097932,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",2006-12-13,107944236,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Arthur and the Invisibles
80000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",en,A Sound of Thunder,7.342892,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-05-15,5989640,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,A Sound of Thunder
130000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",en,Pompeii,50.561849,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-02-18,117831631,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Pompeii
60000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",en,A Beautiful Mind,59.248437,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-11,313542341,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Beautiful Mind
45000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",en,The Lion King,90.457886,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-06-23,788241776,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Lion King
79000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Journey 2: The Mysterious Island,40.723459,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-01-19,355692760,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Journey 2: The Mysterious Island
78000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",en,Cloudy with a Chance of Meatballs 2,41.247402,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-09-26,248384621,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Cloudy with a Chance of Meatballs 2
78000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",en,Red Dragon,10.083905,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-09-29,209196298,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Red Dragon
100000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 12, ""name"": ""Adventure""}]",en,Hidalgo,16.759252,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MA"", ""name"": ""Morocco""}]",2004-03-05,108103450,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hidalgo
79000000,"[{""id"": 35, ""name"": ""Comedy""}]",en,Jack and Jill,22.132418,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-11-11,149673788,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Jack and Jill
76000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",en,2 Fast 2 Furious,10.520961,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-06-05,236350661,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,2 Fast 2 Furious
64000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}]",en,The Little Prince,35.384423,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",2015-07-29,97571250,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Little Prince
80000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",en,The Invasion,15.673154,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2007-08-17,15071514,99.0,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Invasion
76000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,The Adventures of Rocky & Bullwinkle,8.981427,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-06-30,35134820,88.0,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The Adventures of Rocky & Bullwinkle
75000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",en,The Secret Life of Pets,31.482872,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-06-18,875958308,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Secret Life of Pets
78000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,The League of Extraordinary Gentlemen,47.436675,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-07-11,179265204,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,The League of Extraordinary Gentlemen
76000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,Despicable Me 2,136.886704,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-25,970761885,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Despicable Me 2
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Independence Day,60.442593,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-25,816969268,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Independence Day
73000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,The Lost World: Jurassic Park,2.502487,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-05-23,229074524,129.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Lost World: Jurassic Park
75000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}]",en,Madagascar,48.110909,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-05-25,532680671,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Madagascar
76000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,Children of Men,35.387874,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-09-22,69959751,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Children of Men
75000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",en,X-Men,4.66891,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-07-13,296339527,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,X-Men
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",en,Wanted,73.82289,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-19,258270008,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Wanted
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",en,The Rock,51.469576,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-06,335062621,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Rock
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",en,Ice Age: The Meltdown,85.115058,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-03-23,660940780,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Ice Age: The Meltdown
75000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",en,50 First Dates,61.437586,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-02-13,196482882,99.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,50 First Dates
50000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",en,Hairspray,31.160542,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-07-13,90450008,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hairspray
80000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",en,Exorcist: The Beginning,15.761384,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-08-20,78000586,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Exorcist: The Beginning
75000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",en,Now You See Me,71.124686,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",2013-05-29,117698894,115.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Now You See Me
80000000,"[{""id"": 35, ""name"": ""Comedy""}]",en,Grown Ups,38.864027,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-24,271430189,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Grown Ups
60000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",en,The Terminal,57.753914,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-17,219417255,128.0,"[{""iso_639_1"": ""bg"", ""name"": ""\u0431\u044a\u043b\u0433\u0430\u0440\u0441\u043a\u0438 \u0435\u0437\u0438\u043a""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,The Terminal
35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",en,Hotel for Dogs,13.25753,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-01-16,73034460,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hotel for Dogs
